bus_id,route_id,route_nm,route_ord,node_id,ars_id,node_nm,lngt,la
b023685,121900016,서초18,35,121900278,22936,코오롱아파트,127.028118,37.47231031
b023686,118900004,영등포02,35,118900121,19809,한솔아파트,126.8880522,37.54389185
b023687,115000009,N6002,35,161000332,92606,공항입구JC,126.5083067,37.5061658
b023688,100100507,6009,35,161000332,92606,공항입구JC,126.5083067,37.5061658
b023689,118900001,영등포04,35,118900129,19777,대림3동주민센터,126.8983425,37.49807937
b023690,116000003,N866,35,118000156,19241,신풍역.백악관웨딩문화원앞,126.909775,37.501432
b023691,123000009,Jan-00,35,161010557,92644,영종대교(가상),126.541634,37.52179043
b023692,100100508,6300,35,161010557,92644,영종대교(가상),126.541634,37.52179043
b023693,108900006,강북01,35,108900225,9877,신성빌라,127.0034868,37.64367732
b023694,108900004,강북09,35,108900020,9868,로얄공인중계사무소,127.0347759,37.63281061
b023695,108900001,강북11,35,108900018,9872,금호.현대아파트,127.0364126,37.63173693
b023696,100100461,407,35,102000066,3160,서울중부기술교육원.블루스퀘어,127.0035398,37.54157768
b023697,124000036,345,35,122000004,23104,광림교회.현대고등학교,127.0244393,37.52527795
b023698,119900023,동작05-1,35,119900308,20497,벽산아파트,126.9218266,37.49773319
b023699,100100096,643,35,121000024,22024,구반포역.세화고등학교,126.98907,37.501735
b023700,100100087,602,35,113000421,14061,동교동삼거리,126.928546,37.558069
b023701,124000034,4318B,35,122000066,23168,영동교입구.청담자이아파트,127.0560023,37.52278378
b023702,100100105,702B용두초교,35,101000262,2281,서대문역사거리.농협중앙회,126.9678855,37.56692224
b023703,100100552,7739,35,112000103,13186,북가좌삼호.DMC아이파크아파트,126.913058,37.57553
b023704,100100606,9711B,35,113000194,14288,월드컵파크5단지.상암중고등학교입구,126.886335,37.580921
b023705,100100292,6512,35,120000160,21262,관악우체국.에이치플러스양지병원,126.9331483,37.48445247
b023706,100100228,3416,35,122000719,23405,세곡동주민센터,127.108095,37.469635
b023707,117900006,금천02,35,117900138,18844,호남슈퍼,126.9157184,37.45221142
b023708,122900005,강남06,35,122000319,23426,쟁골마을,127.104399,37.48265458
b023709,121900007,서초09,35,121900176,22985,구룡사거리,127.0481442,37.47399432
b023710,100100011,106,35,108000009,9009,도봉세무서.성북시장,127.0287194,37.61971409
b023711,117900012,금천11-1,35,117900060,18583,벽산아파트5단지,126.921016,37.450056
b023712,100100218,3220,35,105000065,6151,동답한신동아아파트,127.0639045,37.56888162
b023713,100100226,3414,35,122000203,23307,진선여자중고등학교,127.0498725,37.50226486
b023714,100100177,1218,35,105000235,6322,배봉산입구,127.068212,37.580325
b023715,122900001,강남07,35,122900039,23883,강남더드림병원.도성초등학교,127.0507991,37.50101373
b023716,100100612,3426,35,122000111,23214,선릉역8번출구.선정릉,127.048337,37.506203
b023717,105900005,성북21,35,107900123,8975,종암중학교,127.0347677,37.59323044
b023718,100100337,7017,35,113000418,14064,이대역,126.944495,37.556652
b023719,100100184,1227,35,105000269,6357,동대문노인종합복지관,127.0497131,37.58594609
b023720,105900001,동대문05,35,105900046,6587,답십리쌍마사거리,127.0552016,37.56618994
b023721,100100117,752,35,119000287,20017,경문고교.배나무골앞,126.9825871,37.49159468
b023722,102900002,용산02,35,102900054,3573,녹사평역.용산구청,126.987177,37.535133
b023723,100100215,3216,35,105000029,6113,서울성심병원,127.0502443,37.58439239
b023724,100100043,261,35,100000365,1037,동대문역.흥인지문,127.012453,37.572102
b023725,100100201,2224,35,104000121,5214,대동아파트앞,127.068967,37.536419
b023726,100100010,105,35,100000190,1288,종로중부새마을금고,127.0065911,37.57241749
b023727,104000011,N31,35,122000098,23201,한국무역센터.삼성역,127.0617006,37.50866701
b023728,105900004,성북20,35,107900122,8976,고려대법과대학.한국어교육관입구,127.0331735,37.59128274
b023729,104900002,광진03,35,104900076,5723,해오름공원입구,127.0913642,37.55633026
b023730,100100017,120,35,105000044,6128,이문동우체국,127.061746,37.59938825
b023731,100100588,N62,35,113000420,14062,신촌오거리.현대백화점,126.9358931,37.55539665
b023732,100100391,9404,35,121000005,22005,뱅뱅사거리,127.032432,37.487667
b023733,100100288,5714,35,118000090,19175,당산역삼성래미안아파트,126.9035824,37.53318971
b023734,102900001,마포01,35,113900168,14908,우성아파트입구,126.947384,37.537967
b023735,100100497,653,35,116000142,17233,개봉역,126.85672,37.493978
b023736,100100073,470,35,121000009,22009,신분당선강남역,127.028538,37.495848
b023737,103900002,성동08,35,103900148,4749,삼성래미안아파트,127.0275591,37.54837509
b023738,100100019,140,35,121000013,22013,논현역,127.0230319,37.5072265
b023739,103900004,성동02,35,103900178,4818,벽산아파트109동,127.0273705,37.55261388
b023740,100100063,402,35,121000008,22008,래미안아파트.파이낸셜뉴스,127.030987,37.491087
